#{"t_start": 1767454746.298802, "env_id": "None"}
r,l,t
-1935328.679101,1001,1199.052099
-2070566.149824,1001,1203.347031
-2008099.081655,1001,1208.455983
-2105918.707433,1001,1223.214143
-2110516.964414,1001,1227.469973
-2164900.804292,1001,1231.760798
-1930441.221138,1001,1236.224348
-1837912.288344,1001,1249.648547
-2050203.962302,1001,1253.893101
-2023320.41874,1001,1258.174144
-1998124.253631,1001,1262.476396
-1838424.462636,1001,1275.704744
-2043647.601407,1001,1280.015602
-2089986.207614,1001,1284.295127
-1879326.25398,1001,1289.017592
-2210747.190379,1001,1302.755563
-2065052.410117,1001,1306.988251
-1932515.175362,1001,1311.234674
-1994168.573802,1001,1315.557613
